PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
1,61,2,1,49401,1,1.5,1230,,2015,266,175,42.98037,-85.936584,189000
5,74,2,1,49401,6,2,,,1973,324,,42.971323,-85.931517,165000
2,75,1,1,49401,,,,,,,,42.970337,-85.946474,160000
5,9,2,1,49401,3,3,,47044,1927,63,,42.993918,-85.955314,147000
2,16,2,1,49401,3,2,1274,11340,2015,361,,42.960332,-85.916118,186900
4,2,1,1,49401,,,,,,,,42.9799859,-85.9351159,226000
2,3,2,1,49401,3,2,1301,17190,2016,127,,42.960156,-85.914363,204900
2,16,1,1,49401,,,,,,,,42.959801,-85.916107,186000
2,76,2,1,49401,5,3.5,2728,13939,2010,245,100,42.9831097,-85.9386713,244500
2,2,1,1,49401,,,,311018,,,,42.988485,-85.95627,80000
2,6,2,1,49401,3,2,1637,7501,2015,347,8,42.975208,-85.920924,206930
2,2,2,1,49401,2,1,1062,16552,1959,28,,42.9704089,-85.923962,128600
2,77,2,1,49401,3,2,1992,13283,2006,144,,42.961253,-85.918072,180000
2,2,2,1,49401,3,2,1845,10625,1996,274,,42.9690721,-85.9238672,179750
2,3,2,1,49401,3,2,1356,43568,2015,343,,42.997512,-85.965359,168500
2,78,2,1,49401,4,3,2463,17859,2008,120,,42.963601,-85.929615,225000
2,9,2,1,49401,3,2,2343,427323,1993,282,,42.99222,-85.9842029,248000
2,76,2,1,49401,4,3,2250,12314,2010,32,,42.9831604,-85.9388918,229900
2,79,2,1,49401,3,2,2180,10454,1999,357,,42.976154,-85.927172,173000
2,80,2,1,49401,5,2.5,2550,11565,1999,122,,42.969468,-85.9207179,204000
2,49,1,1,49401,,,,,,,,42.971862,-85.92948,124000
2,81,1,1,49401,,,,,,,,42.969177,-85.962311,189900
2,2,1,1,49401,,,,33106,,,,42.978506,-85.935068,149500
2,2,2,1,49401,5,3.5,3180,48900,2001,234,,43.000744,-85.93579,289900
2,82,2,1,49401,4,1.5,2119,13464,1966,176,,42.974851,-85.9567919,158500
2,83,2,1,49401,3,2,2027,13068,1999,95,,42.969744,-85.961085,172500
2,2,1,1,49401,,,,,,,,42.9635279,-85.954008,112900
2,84,2,1,49401,4,2.5,2207,11206,2002,228,,42.967213,-85.918949,200000
2,85,2,1,49401,4,2,2300,,2003,233,,42.9669079,-85.91762,195000
2,3,1,1,49401,,,,62291,,,,42.968637,-85.915145,176200
2,24,2,1,49401,3,2,1125,31999,1949,312,,42.974901,-85.952432,132000
2,2,1,1,49401,,,,25700,,,,42.975315,-85.95374,110000
2,2,2,1,49401,4,1.5,2075,26136,1978,340,,42.978035,-85.934051,130000
2,17,1,1,49401,,,,,,,,42.960762,-85.915519,187000
2,86,2,1,49401,4,2.5,2610,,2013,21,8,42.981811,-85.936389,250000
