LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
SINGLE FAMILY,0.41,GENERAL SERVICES DISTRICT,21000,107700,1880,FULL BSMT,1965,C   ,5,1,1,C
DUPLEX,0.28,URBAN SERVICES DISTRICT,25000,86400,1706,CRAWL,1955,C   ,5,3,0,C
DUPLEX,0.23,URBAN SERVICES DISTRICT,28000,89000,1972,CRAWL,1969,C   ,5,2,0,C
SINGLE FAMILY,0.39,URBAN SERVICES DISTRICT,20000,129000,2517,PT BSMT,1964,C   ,5,3,0,C
DUPLEX,0.91,GENERAL SERVICES DISTRICT,25000,112500,2331,PT BSMT,1958,C   ,5,2,0,C
SINGLE FAMILY,0.93,URBAN SERVICES DISTRICT,40000,207800,2738.23999,PT BSMT,1945,C   ,5,2,0,C
SINGLE FAMILY,0.42,URBAN SERVICES DISTRICT,21000,107100,1927,CRAWL,1959,C   ,4,2,0,C
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,32000,89200,1353.60001,FULL BSMT,1949,C   ,4,2,0,C
DUPLEX,0.25,GENERAL SERVICES DISTRICT,18000,92200,1889.41998,FULL BSMT,1976,C   ,4,2,0,C
SINGLE FAMILY,0.28,GENERAL SERVICES DISTRICT,21000,123100,2200,SLAB,1962,C   ,4,2,0,C
SINGLE FAMILY,0.26,URBAN SERVICES DISTRICT,21500,104900,1532,CRAWL,1968,C   ,4,1,1,C
DUPLEX,0.6,URBAN SERVICES DISTRICT,28800,85600,1738,CRAWL,1963,C   ,4,2,0,C
DUPLEX,0.24,URBAN SERVICES DISTRICT,24000,82000,1500,CRAWL,1980,C   ,4,2,0,C
SINGLE FAMILY,0.33,GENERAL SERVICES DISTRICT,21000,104400,1800,SLAB,1965,C   ,4,2,0,C
SINGLE FAMILY,0.31,URBAN SERVICES DISTRICT,37000,242500,2376,CRAWL,1930,C   ,4,2,0,C
SINGLE FAMILY,4.3,URBAN SERVICES DISTRICT,78000,107300,2087.80002,FULL BSMT,1955,C   ,4,1,1,C
DUPLEX,0.22,URBAN SERVICES DISTRICT,24000,103100,1935,CRAWL,1983,C   ,4,2,0,C
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,26000,125600,1550,CRAWL,1928,C   ,4,1,0,C
SINGLE FAMILY,0.32,URBAN SERVICES DISTRICT,32000,204700,2027,CRAWL,1961,C   ,4,3,1,C
DUPLEX,0.34,URBAN SERVICES DISTRICT,27600,117300,1600,FULL BSMT,1968,C   ,4,2,0,C
SINGLE FAMILY,0.29,URBAN SERVICES DISTRICT,29900,127600,1687.5,FULL BSMT,1962,C   ,4,2,0,C
SINGLE FAMILY,0.29,GENERAL SERVICES DISTRICT,17000,143700,1777,PT BSMT,1956,C   ,4,2,1,C
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,25000,90900,2100,FULL BSMT,1955,C   ,4,2,1,C
SINGLE FAMILY,0.96,GENERAL SERVICES DISTRICT,32000,135800,1950,FULL BSMT,1965,C   ,4,2,0,C
DUPLEX,0.71,URBAN SERVICES DISTRICT,40500,84800,2010,CRAWL,1953,C   ,4,2,0,C
SINGLE FAMILY,0.63,URBAN SERVICES DISTRICT,36000,415500,3417.53503,CRAWL,1950,B   ,4,3,0,C
SINGLE FAMILY,0.33,URBAN SERVICES DISTRICT,32000,159900,1500,CRAWL,1962,C   ,4,2,1,C
SINGLE FAMILY,0.73,URBAN SERVICES DISTRICT,40000,119200,1645.64999,FULL BSMT,1955,C   ,4,2,0,C
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,32000,145100,2200,FULL BSMT,1968,C   ,4,2,0,C
QUADPLEX,0.26,URBAN SERVICES DISTRICT,13000,77500,2770,CRAWL,1969,D   ,8,4,0,D
DUPLEX,0.29,URBAN SERVICES DISTRICT,28000,123200,3400,FULL BSMT,1970,C   ,6,4,0,D
DUPLEX,0.3,GENERAL SERVICES DISTRICT,27000,133900,3000,FULL BSMT,1970,C   ,6,4,0,D
DUPLEX,0.81,CITY OF GOODLETTSVILLE,30800,127200,3543,PT BSMT,1953,C   ,6,3,0,D
DUPLEX,0.17,URBAN SERVICES DISTRICT,65000,64600,2000,SLAB,1988,C   ,6,4,0,D
SINGLE FAMILY,0.48,URBAN SERVICES DISTRICT,32700,150300,2067,FULL BSMT,1962,C   ,5,2,0,D
SINGLE FAMILY,0.32,GENERAL SERVICES DISTRICT,27000,111500,2091.25,PT BSMT,1977,C   ,5,3,0,D
SINGLE FAMILY,1.72,CITY OF GOODLETTSVILLE,36500,123900,2792,FULL BSMT,1972,C   ,5,3,0,D
SINGLE FAMILY,0.35,URBAN SERVICES DISTRICT,37000,127000,1312,PT BSMT,1935,C   ,4,1,0,D
DUPLEX,0.21,GENERAL SERVICES DISTRICT,12000,41500,1566,CRAWL,1984,C   ,4,2,0,D
TRIPLEX,0.17,URBAN SERVICES DISTRICT,25000,68500,2100,CRAWL,1957,D   ,6,3,0,E
TRIPLEX,0.17,URBAN SERVICES DISTRICT,25000,68200,2100,CRAWL,1957,D   ,6,3,0,E
TRIPLEX,0.17,URBAN SERVICES DISTRICT,25000,68000,2100,CRAWL,1957,D   ,6,3,0,E
SINGLE FAMILY,0.37,URBAN SERVICES DISTRICT,25000,108400,2126.74001,FULL BSMT,1957,C   ,6,4,0,E
SINGLE FAMILY,0.41,GENERAL SERVICES DISTRICT,27000,146700,2542,CRAWL,1968,C   ,5,3,0,E
SINGLE FAMILY,0.24,URBAN SERVICES DISTRICT,24000,125900,2963.17993,FULL BSMT,1972,C   ,5,3,0,E
SINGLE FAMILY,0.81,URBAN SERVICES DISTRICT,21000,135200,2160,CRAWL,1958,C   ,5,2,0,E
SINGLE FAMILY,0.22,GENERAL SERVICES DISTRICT,20000,89600,1580,CRAWL,1970,C   ,5,2,0,E
SINGLE FAMILY,0.53,GENERAL SERVICES DISTRICT,48000,174000,2495,SLAB,1962,B   ,4,2,0,E
SINGLE FAMILY,0.32,URBAN SERVICES DISTRICT,27000,137100,2198,CRAWL,1983,C   ,4,3,0,E
DUPLEX,1.03,URBAN SERVICES DISTRICT,115000,147700,1664,FULL BSMT,1957,C   ,4,1,1,E
SINGLE FAMILY,0.28,URBAN SERVICES DISTRICT,23000,116900,2681,PT BSMT,1963,C   ,4,2,0,E
DUPLEX,0.25,URBAN SERVICES DISTRICT,24000,112500,2943.71997,FULL BSMT,1974,C   ,6,2,0,F
SINGLE FAMILY,1.02,GENERAL SERVICES DISTRICT,25000,133700,2426,CRAWL,1955,C   ,6,3,0,F
